year,icpsr,state,stateabbr,chamber,district,party,adjusted.ada,adjusted.member.mean.ada,fullname
2009,20300,ALABAMA,AL,1,1,2,5.273736747,7.517939014,"BONNER, JO"
2009,20900,ALABAMA,AL,1,2,1,23.81789612,20.80152885,"BRIGHT, BOBBY"
2009,20301,ALABAMA,AL,1,3,2,19.18185628,15.11234547,"ROGERS, MIKE D."
2009,29701,ALABAMA,AL,1,4,2,9.909776591,11.79854611,"ADERHOLT, ROBERT B."
2009,20901,ALABAMA,AL,1,5,1,33.08997581,33.08997581,"GRIFFITH, PARKER"
2009,90901,ALABAMA,AL,1,5,2,33.08997581,33.08997581,"GRIFFITH, PARKER"
2009,29301,ALABAMA,AL,1,6,2,9.909776591,10.26436724,"BACHUS, SPENCER"
2009,20302,ALABAMA,AL,1,7,1,70.17829457,79.17368741,"DAVIS, ARTUR"
2009,14066,ALASKA,AK,1,1,2,14.54581644,20.40048177,"YOUNG, DONALD"
2009,20902,ARIZONA,AZ,1,1,1,60.90621488,67.50296897,"KIRKPATRICK, ANN"
2009,20304,ARIZONA,AZ,1,2,2,5.273736747,8.617052977,"FRANKS, TRENT"
2009,29501,ARIZONA,AZ,1,3,2,5.273736747,7.765915498,"SHADEGG, JOHN B."
2009,29101,ARIZONA,AZ,1,4,1,97.99453363,98.08795107,"PASTOR, ED"
2009,20700,ARIZONA,AZ,1,5,1,60.90621488,69.26634201,"MITCHELL, HARRY E."
2009,20100,ARIZONA,AZ,1,6,2,5.273736747,12.99763821,"FLAKE, JEFF"
2009,20305,ARIZONA,AZ,1,7,1,97.99453363,104.1510331,"GRIJALVA, RAÚL M."
2009,20701,ARIZONA,AZ,1,8,1,93.35849379,82.3351532,"GIFFORDS, GABRIELLE"
2009,29702,ARKANSAS,AR,1,1,1,65.54225472,69.02968144,"BERRY, MARION"
2009,29703,ARKANSAS,AR,1,2,1,84.0864141,85.65295672,"SNYDER, VIC"
2009,20101,ARKANSAS,AR,1,3,2,5.273736747,10.10040158,"BOOZMAN, JOHN"
2009,20102,ARKANSAS,AR,1,4,1,60.90621488,63.97497223,"ROSS, MIKE"
2009,29901,CALIFORNIA,CA,1,1,1,97.99453363,94.09988746,"THOMPSON, MIKE"
2009,15420,CALIFORNIA,CA,1,2,2,5.273736747,7.33055202,"HERGER, WALLY"
2009,14647,CALIFORNIA,CA,1,3,2,9.909776591,7.741604366,"LUNGREN, DAN"
2009,20903,CALIFORNIA,CA,1,4,2,5.273736747,19.96446593,"MCCLINTOCK, TOM"
2009,20538,CALIFORNIA,CA,1,5,1,97.99453363,100.3706126,"MATSUI, DORIS"
2009,29309,CALIFORNIA,CA,1,6,1,97.99453363,101.2191471,"WOOLSEY, LYNN C."
2009,14256,CALIFORNIA,CA,1,7,1,93.35849379,103.2579785,"MILLER, GEORGE"
2009,29778,CALIFORNIA,CA,1,9,1,97.99453363,99.47024272,"LEE, BARBARA"
2009,20702,CALIFORNIA,CA,1,11,1,97.99453363,90.04464783,"MCNERNEY, JERRY"
2009,20762,CALIFORNIA,CA,1,12,1,93.35849379,90.12634988,"SPEIER, JACKIE"
2009,14053,CALIFORNIA,CA,1,13,1,70.17829457,100.5552332,"STARK, FORTNEY (PETE)"
2009,29312,CALIFORNIA,CA,1,14,1,97.99453363,98.01707843,"ESHOO, ANNA G."
2009,20103,CALIFORNIA,CA,1,15,1,97.99453363,100.6562882,"HONDA, MICHAEL M."
2009,29504,CALIFORNIA,CA,1,16,1,93.35849379,99.23006632,"LOFGREN, ZOE"
2009,29313,CALIFORNIA,CA,1,17,1,97.99453363,100.424778,"FARR, SAM"
2009,20306,CALIFORNIA,CA,1,18,1,88.72245394,80.80715594,"CARDOZA, DENNIS A."
2009,29505,CALIFORNIA,CA,1,19,2,5.273736747,7.554127573,"RADANOVICH, GEORGE P."
2009,20501,CALIFORNIA,CA,1,20,1,84.0864141,68.69035765,"COSTA, JIM"
2009,20307,CALIFORNIA,CA,1,21,2,5.273736747,5.891572625,"NUNES, DEVIN"
2009,20703,CALIFORNIA,CA,1,22,2,5.273736747,6.476515423,"MCCARTHY, KEVIN"
2009,29774,CALIFORNIA,CA,1,23,1,97.99453363,96.24698845,"CAPPS, LOIS"
2009,15413,CALIFORNIA,CA,1,24,2,9.909776591,10.57955939,"GALLEGLY, ELTON"
2009,29315,CALIFORNIA,CA,1,25,2,19.18185628,8.521239156,"MCKEON, HOWARD P. ""BUCK"""
2009,14813,CALIFORNIA,CA,1,26,2,9.909776591,8.88680784,"DREIER, DAVID"
2009,29707,CALIFORNIA,CA,1,27,1,97.99453363,94.01892031,"SHERMAN, BRAD"
2009,15005,CALIFORNIA,CA,1,28,1,97.99453363,95.8120767,"BERMAN, HOWARD  L."
