session,icpsr,statecode,district,state,party,name,dwnom_1,dwnom_2,dwnom_bse1,dwnom_bse2
111,99911,US,0,USA,100,OBAMA,-0.368,-0.41,0.0341,0.1549
111,20300,AL,1,ALABAMA,200,BONNER,0.395,0.316,0.0689,0.0404
111,20900,AL,2,ALABAMA,100,BRIGHT,0.075,0.174,0.0098,0.2206
111,20301,AL,3,ALABAMA,200,ROGERS,0.346,0.334,0.0455,0.0301
111,29701,AL,4,ALABAMA,200,ADERHOLT,0.376,0.503,0.0608,0.0377
111,20901,AL,5,ALABAMA,100,GRIFFITH,-0.038,0.519,0.0132,0.1555
111,90901,AL,5,ALABAMA,200,GRIFFITH,0.406,0.318,0.0423,0.2463
111,29301,AL,6,ALABAMA,200,BACHUS,0.411,0.101,0.0663,0.092
111,20302,AL,7,ALABAMA,100,DAVIS,-0.26,0.327,0.0288,0.032
111,14066,AK,1,ALASKA,200,YOUNG,0.28,-0.062,0.0253,0.0519
111,20902,AZ,1,ARIZONA,100,KIRKPATRICK,-0.123,-0.216,0.0474,0.2396
111,20304,AZ,2,ARIZONA,200,FRANKS,0.787,0.07,0.0391,0.3128
111,29501,AZ,3,ARIZONA,200,SHADEGG,0.782,-0.117,0.0219,0.3833
111,29101,AZ,4,ARIZONA,100,PASTOR,-0.423,0.038,0.0359,0.0286
111,20700,AZ,5,ARIZONA,100,MITCHELL,-0.048,0.089,0.0733,0.1273
111,20100,AZ,6,ARIZONA,200,FLAKE,0.958,-0.286,0.1159,0.228
111,20305,AZ,7,ARIZONA,100,GRIJALVA,-0.605,-0.268,0.068,0.1572
111,20701,AZ,8,ARIZONA,100,GIFFORDS,-0.102,0.041,0.006,0.0436
111,29702,AR,1,ARKANSA,100,BERRY,-0.279,0.859,0.0531,0.1766
111,29703,AR,2,ARKANSA,100,SNYDER,-0.269,-0.004,0.028,0.0316
111,20101,AR,3,ARKANSA,200,BOOZMAN,0.415,0.111,0.0573,0.1503
111,20102,AR,4,ARKANSA,100,ROSS,-0.175,0.68,0.0261,0.0389
