State,District,Year,District Year,Dem%,Rep%,Oth%,M%,Winner
AL,1,2004,2004,35,64.3,0.7,29.3,Bush
AL,2,2004,2004,32.9,66.7,0.4,33.8,Bush
AL,3,2004,2004,41.2,58.2,0.6,17.1,Bush
AL,4,2004,2004,28.1,71.3,0.7,43.2,Bush
AL,5,2004,2004,39.5,59.8,0.8,20.3,Bush
AL,6,2004,2004,21.8,78,0.2,56.1,Bush
AL,7,2004,2004,64.5,35.4,0.1,-29,Kerry
AK,1,2004,2004,35.5,61.1,3.4,25.5,Bush
AZ,1,2004,2004,45.5,53.8,0.7,8.3,Bush
AZ,2,2004,2004,38,61.5,0.6,23.5,Bush
AZ,3,2004,2004,41.5,57.9,0.6,16.4,Bush
AZ,4,2004,2004,61.5,37.7,0.8,-23.9,Kerry
AZ,5,2004,2004,45.3,54.1,0.6,8.8,Bush
AZ,6,2004,2004,35.2,64.4,0.5,29.2,Bush
AZ,7,2004,2004,56.6,42.8,0.6,-13.9,Kerry
AZ,8,2004,2004,46.5,52.9,0.6,6.4,Bush
AR,1,2004,2004,47.1,51.7,1.2,4.5,Bush
AR,2,2004,2004,47.6,51.4,1,3.9,Bush
AR,3,2004,2004,36.5,62.3,1.3,25.8,Bush
AR,4,2004,2004,47.5,51.4,1.1,3.9,Bush
CA,1,2004,2004,59.7,38.4,1.9,-21.4,Kerry
CA,2,2004,2004,36.6,62,1.4,25.5,Bush
CA,3,2004,2004,40.8,58.2,1,17.4,Bush
CA,4,2004,2004,37.5,61.4,1.2,23.9,Bush
CA,5,2004,2004,61.1,37.9,1.1,-23.2,Kerry
CA,6,2004,2004,70.4,28.2,1.4,-42.2,Kerry
CA,7,2004,2004,67.2,31.8,1,-35.3,Kerry
CA,8,2004,2004,84.6,14.1,1.4,-70.5,Kerry
CA,9,2004,2004,85.9,12.6,1.5,-73.3,Kerry
CA,10,2004,2004,58.5,40.4,1.1,-18.1,Kerry
CA,11,2004,2004,45.3,53.9,0.8,8.7,Bush
CA,12,2004,2004,71.7,27.3,1,-44.4,Kerry
CA,13,2004,2004,70.9,28,1.1,-43,Kerry
CA,14,2004,2004,68.4,30.2,1.4,-38.2,Kerry
CA,15,2004,2004,62.9,35.9,1.3,-27,Kerry
CA,16,2004,2004,63.4,35.5,1.1,-27.9,Kerry
CA,17,2004,2004,65.6,33,1.4,-32.6,Kerry
CA,18,2004,2004,49.4,49.6,1,0.2,Bush
CA,19,2004,2004,37.9,61.2,0.9,23.3,Bush
CA,20,2004,2004,50.6,48.5,0.9,-2.2,Kerry
CA,21,2004,2004,33.7,65.5,0.8,31.8,Bush
CA,22,2004,2004,31,68,1,37,Bush
CA,23,2004,2004,58.3,40.3,1.4,-18,Kerry
CA,24,2004,2004,43.1,55.7,1.2,12.7,Bush
CA,25,2004,2004,39.9,58.8,1.3,18.9,Bush
CA,26,2004,2004,43.7,55.1,1.2,11.5,Bush
CA,27,2004,2004,59.4,39.3,1.4,-20.1,Kerry
CA,28,2004,2004,71,27.9,1.1,-43.1,Kerry
CA,29,2004,2004,61.3,37.4,1.4,-23.9,Kerry
CA,30,2004,2004,66.2,32.8,1.1,-33.4,Kerry
CA,31,2004,2004,76.9,21.6,1.5,-55.4,Kerry
CA,32,2004,2004,62.3,36.6,1.1,-25.7,Kerry
CA,33,2004,2004,82.8,15.9,1.3,-66.9,Kerry
CA,34,2004,2004,68.8,29.8,1.4,-39,Kerry
CA,35,2004,2004,79,20,1,-59,Kerry
CA,36,2004,2004,59,39.6,1.4,-19.4,Kerry
CA,37,2004,2004,73.5,25.2,1.3,-48.4,Kerry
CA,38,2004,2004,65.3,33.6,1.1,-31.7,Kerry
CA,39,2004,2004,58.5,40.3,1.2,-18.3,Kerry
CA,40,2004,2004,38.5,60.3,1.2,21.8,Bush
CA,41,2004,2004,37,61.9,1.1,24.9,Bush
CA,42,2004,2004,36.9,62.1,1,25.2,Bush
CA,43,2004,2004,58.2,40.7,1.1,-17.5,Kerry
CA,44,2004,2004,39.9,59,1.1,19.1,Bush
CA,45,2004,2004,43.1,56,0.9,13,Bush
CA,46,2004,2004,41.7,57,1.3,15.3,Bush
CA,47,2004,2004,48.7,50.1,1.2,1.4,Bush
CA,48,2004,2004,40.4,58.5,1.1,18,Bush
CA,49,2004,2004,36.5,62.6,1,26.1,Bush
CA,50,2004,2004,43.9,55.2,0.9,11.3,Bush
CA,51,2004,2004,53.4,45.7,0.9,-7.6,Kerry
CA,52,2004,2004,37.7,61.4,0.9,23.7,Bush
CA,53,2004,2004,61.2,37.6,1.2,-23.5,Kerry
CO,1,2004,2004,68.2,30.8,1.1,-37.4,Kerry
CO,2,2004,2004,58.3,41.1,0.6,-17.3,Kerry
CO,3,2004,2004,43.7,55.1,1.2,11.4,Bush
CO,4,2004,2004,41.2,58,0.9,16.7,Bush
CO,5,2004,2004,32.6,66.2,1.1,33.6,Bush
CO,6,2004,2004,39.1,60.3,0.7,21.2,Bush
CO,7,2004,2004,51.4,48.2,0.5,-3.2,Kerry
CT,1,2004,2004,59.6,38.6,1.9,-21,Kerry
CT,2,2004,2004,53.9,44.2,1.9,-9.7,Kerry
CT,3,2004,2004,56.4,41.7,1.9,-14.7,Kerry
CT,4,2004,2004,52.4,46.3,1.3,-6.1,Kerry
CT,5,2004,2004,49.3,49,1.7,-0.4,Kerry
DE,1,2004,2004,53.4,45.8,0.9,-7.6,Kerry
FL,1,2004,2004,27.5,71.8,0.7,44.3,Bush
FL,2,2004,2004,45.6,54,0.4,8.4,Bush
FL,3,2004,2004,64.9,35.1,0,-29.9,Kerry
FL,4,2004,2004,30.6,69.2,0.2,38.7,Bush
FL,5,2004,2004,41.2,58.3,0.5,17,Bush
FL,6,2004,2004,38.9,60.8,0.2,21.9,Bush
FL,7,2004,2004,43.1,56.7,0.3,13.6,Bush
FL,8,2004,2004,45.3,54.6,0.1,9.3,Bush
FL,9,2004,2004,42.9,56.8,0.3,13.9,Bush
FL,10,2004,2004,48.8,51.2,0,2.4,Bush
FL,11,2004,2004,58,41.3,0.7,-16.7,Kerry
FL,12,2004,2004,41.6,58.1,0.3,16.5,Bush
FL,13,2004,2004,43.5,55.8,0.7,12.3,Bush
FL,14,2004,2004,37.7,61.6,0.7,23.9,Bush
FL,15,2004,2004,42.7,56.7,0.6,14,Bush
FL,16,2004,2004,45.6,54,0.4,8.5,Bush
FL,17,2004,2004,83.4,16.6,0,-66.7,Kerry
FL,18,2004,2004,45.6,54.4,0,8.8,Bush
FL,19,2004,2004,66.3,33.8,0,-32.5,Kerry
FL,20,2004,2004,63.8,36.2,0,-27.6,Kerry
FL,21,2004,2004,43.1,57,0,13.9,Bush
FL,22,2004,2004,52.5,47.5,0,-4.9,Kerry
FL,23,2004,2004,75.7,24.3,0,-51.3,Kerry
FL,24,2004,2004,44.7,55.2,0.1,10.5,Bush
FL,25,2004,2004,43.7,56.3,0,12.6,Bush
GA,1,2004,2004,31.4,68.3,0.3,36.9,Bush
GA,2,2004,2004,46.1,53.7,0.3,7.6,Bush
GA,3,2004,2004,44.2,55.5,0.3,11.3,Bush
GA,4,2004,2004,72.2,27.8,0,-44.4,Kerry
GA,5,2004,2004,72.4,26.9,0.7,-45.5,Kerry
GA,6,2004,2004,29.4,70.2,0.4,40.8,Bush
GA,7,2004,2004,24.2,75.6,0.2,51.4,Bush
GA,8,2004,2004,26.5,73.5,0,47,Bush
GA,9,2004,2004,27.4,72.2,0.4,44.9,Bush
GA,10,2004,2004,22.8,76.7,0.5,53.9,Bush
GA,11,2004,2004,44.3,55.5,0.2,11.2,Bush
GA,12,2004,2004,53.7,46,0.3,-7.7,Kerry
GA,13,2004,2004,64.2,35.8,0.1,-28.4,Kerry
HI,1,2004,2004,52.7,47.3,0,-5.5,Kerry
HI,2,2004,2004,55.7,43.8,0.6,-11.9,Kerry
ID,1,2004,2004,30.3,68.6,1.1,38.3,Bush
ID,2,2004,2004,30.5,68.6,0.9,38.2,Bush
IL,1,2004,2004,83,16.8,0.2,-66.1,Kerry
IL,2,2004,2004,83.9,16,0.1,-68,Kerry
IL,3,2004,2004,58.9,40.9,0.2,-18.1,Kerry
IL,4,2004,2004,78.7,20.7,0.6,-58,Kerry
IL,5,2004,2004,66.6,32.8,0.6,-33.9,Kerry
IL,6,2004,2004,46.6,53.4,0,6.8,Bush
IL,7,2004,2004,83.2,16.5,0.3,-66.7,Kerry
IL,8,2004,2004,44.3,55.7,0,11.5,Bush
IL,9,2004,2004,68.2,31.6,0.3,-36.6,Kerry
IL,10,2004,2004,52.8,47.2,0,-5.5,Kerry
IL,11,2004,2004,46.2,53.5,0.3,7.3,Bush
IL,12,2004,2004,51.8,47.6,0.6,-4.2,Kerry
IL,13,2004,2004,44.8,55.2,0,10.5,Bush
IL,14,2004,2004,43.9,55.5,0.6,11.6,Bush
IL,15,2004,2004,40.7,58.5,0.7,17.8,Bush
IL,16,2004,2004,44.1,55.5,0.5,11.4,Bush
IL,17,2004,2004,51.4,48.2,0.5,-3.2,Kerry
IL,18,2004,2004,41.7,57.7,0.6,16.1,Bush
IL,19,2004,2004,38.8,60.8,0.4,21.9,Bush
IN,1,2004,2004,55.2,44,0.8,-11.2,Kerry
IN,2,2004,2004,43.2,56,0.8,12.8,Bush
