State,District,District Year,2010 pvi
AK,1,2006,14.2
AL,1,2006,14.2
AL,2,2006,16.7
AL,3,2006,9.2
AL,4,2006,25.7
AL,5,2006,12.7
AL,6,2006,28.7
AL,7,2006,-16.8
AR,1,2006,8.7
AR,2,2006,5.2
AR,3,2006,16.2
AR,4,2006,7.7
AZ,1,2006,6.2
AZ,2,2006,13.2
AZ,3,2006,9.7
AZ,4,2006,-12.8
AZ,5,2006,5.2
AZ,6,2006,14.7
AZ,7,2006,-5.8
AZ,8,2006,5.2
CA,1,2006,-11.8
CA,2,2006,11.2
CA,3,2006,6.2
CA,4,2006,10.7
CA,5,2006,-14.3
CA,6,2006,-21.8
CA,7,2006,-18.3
CA,8,2006,-33.8
CA,9,2006,-35.8
CA,10,2006,-10.8
CA,11,2006,1.7
CA,12,2006,-21.8
CA,13,2006,-21.3
CA,14,2006,-19.3
CA,15,2006,-14.3
CA,16,2006,-15.3
CA,17,2006,-17.8
CA,18,2006,-2.8
CA,19,2006,9.2
CA,20,2006,-4.3
CA,21,2006,13.2
CA,22,2006,16.7
CA,23,2006,-10.8
CA,24,2006,4.2
CA,25,2006,6.7
CA,26,2006,3.7
CA,27,2006,-11.3
CA,28,2006,-22.3
CA,29,2006,-13.3
CA,30,2006,-16.8
CA,31,2006,-27.3
CA,32,2006,-13.8
CA,33,2006,-33.8
CA,34,2006,-20.8
CA,35,2006,-30.3
CA,36,2006,-10.3
CA,37,2006,-25.8
CA,38,2006,-16.8
CA,39,2006,-10.8
CA,40,2006,8.2
CA,41,2006,10.7
CA,42,2006,10.2
CA,43,2006,-11.8
CA,44,2006,6.2
CA,45,2006,3.7
CA,46,2006,6.2
CA,47,2006,-3.3
CA,48,2006,6.7
CA,49,2006,10.7
CA,50,2006,3.7
CA,51,2006,-6.8
CA,52,2006,9.7
CA,53,2006,-13.3
CO,1,2006,-19.8
CO,2,2006,-9.8
CO,3,2006,5.7
CO,4,2006,6.2
CO,5,2006,14.7
CO,6,2006,8.7
CO,7,2006,-3.8
CT,1,2006,-11.8
CT,2,2006,-5.3
CT,3,2006,-8.3
CT,4,2006,-4.8
CT,5,2006,-1.3
DE,1,2006,-6.3
FL,1,2006,21.2
FL,2,2006,5.7
FL,3,2006,-17.8
FL,4,2006,16.7
FL,5,2006,9.2
FL,6,2006,10.2
FL,7,2006,6.7
FL,8,2006,2.2
FL,9,2006,6.2
FL,10,2006,1.2
FL,11,2006,-10.8
FL,12,2006,5.7
FL,13,2006,5.7
FL,14,2006,11.2
FL,15,2006,5.7
FL,16,2006,4.7
FL,17,2006,-33.8
FL,18,2006,2.7
FL,19,2006,-14.3
FL,20,2006,-12.3
FL,21,2006,5.2
FL,22,2006,-0.8
FL,23,2006,-28.3
FL,24,2006,4.2
FL,25,2006,4.7
GA,1,2006,16.2
GA,2,2006,-0.8
GA,3,2006,19.2
GA,4,2006,-23.8
GA,5,2006,-25.3
GA,6,2006,18.2
GA,7,2006,16.7
GA,8,2006,10.2
GA,9,2006,27.7
GA,10,2006,14.7
GA,11,2006,20.2
GA,12,2006,-0.3
GA,13,2006,-14.3
HI,1,2006,-10.3
